3 4 1.0000000 40.77 7.26
4 5 1.0000000 51.11 7.03
5 6 0.5256180 36.78 7.02
6 7 1.0000000 73.94 6.1
8 9 0.3564593 77.15 6.3
10 3 0.2793062 127.26 6.48
11 4 0.0085726 130.93 6.1
12 5 0.4647129 135.81 7.17
13 8 0.2391348 95.94 6.17
8 6 0.3720096 44.01 6.57
14 9 1.0000000 89.66 8.75
9 7 1.0000000 62.34 9.3
10 11 0.4726874 82.59 6.56
11 12 0.0085726 55.07 6.6
12 13 0.3144936 40.19 7.11
13 14 0.4726874 70.41 7.28
15 10 0.0728668 145.76 6.9
16 10 0.0728668 112.91 5.8
17 11 0.0115630 105.33 5.99
18 12 1.0000000 100.99 7.12
19 13 0.2580742 95.38 6.41
20 14 1.0000000 92.47 9.04
15 16 0.2945574 62.49 6.66
16 17 0.4885367 93.8 6.79
17 18 0.0296053 51.54 6.49
18 19 0.2326555 40.33 6.46
19 20 0.1083533 73.47 6.17
21 15 0.0728668 117.68 6.31
22 16 0.4571372 99.28 6.69
23 17 0.4357057 86.53 6.81
14 18 1.0000000 79.0 6.92
25 19 1.0000000 73.4 7.03
26 20 1.0000000 61.56 11.32
21 22 0.5905104 105.31 6.48
22 23 1.0000000 94.92 6.28
23 24 0.3014354 48.9 6.07
24 25 0.1573963 41.2 5.93
25 26 0.0050837 66.5 5.51
27 21 1.0000000 62.72 7.19
28 22 1.0000000 61.92 7.47
29 23 1.0000000 61.77 6.7
30 24 1.0000000 63.7 6.6
31 25 1.0000000 61.9 6.64
32 26 1.0000000 47.7 11.3
27 28 1.0000000 119.81 6.33
28 29 0.3297448 95.86 6.31
29 30 0.5039872 47.74 6.52
30 31 1.0000000 37.66 6.48
31 32 0.1276914 58.06 6.35
54 55 0.0404705 100.59 5.47
45 27 1.0000000 124.05 7.43
54 45 1.0000000 99.59 7.52
81 54 0.5838317 99.59 8.57
79 81 1.0000000 123.2 6.06
80 79 0.5838317 123.2 6.06
1 28 1.0000000 101.32 8.3
2 29 1.0000000 169.27 7.37
34 30 0.0728668 112.33 6.53
33 31 1.0000000 63.62 6.17
33 32 1.0000000 54.38 12.61
34 33 1.0000000 54.38 11.51
2 34 1.0000000 74.38 11.84
1 2 1.0000000 144.45 11.97
55 1 1.0000000 61.71 15.78
80 55 1.0000000 281.39 15.54
38 39 0.5905104 21.93 5.68
39 40 1.0000000 21.93 5.76
40 41 0.5256180 19.92 5.89
41 42 0.2326555 20.4 5.62
42 43 1.0000000 20.45 5.98
43 44 0.0144537 21.5 5.16
44 45 1.0000000 49.22 6.8
38 35 0.0000000 61.36 4.84
39 36 0.0000000 90.83 4.64
40 37 0.0000000 52.95 4.09
46 38 0.0000000 102.96 4.17
47 39 0.0000000 102.08 4.41
48 40 0.0000000 102.9 4.36
49 41 0.0000000 102.9 4.32
50 42 0.0000000 102.9 3.61
51 43 0.0000000 102.9 3.95
52 44 1.0000000 100.26 7.11
61 46 0.0001994 21.22 3.23
46 47 0.0055821 21.56 5.18
47 48 0.0181419 20.91 4.94
48 49 0.0728668 19.75 5.11
49 50 0.1698565 19.17 4.91
50 51 0.3957337 22.13 6.39
51 52 0.3363238 25.6 5.64
52 53 1.0000000 18.3 5.72
53 54 1.0000000 21.46 5.69
56 57 0.0000000 51.0 2.26
58 59 0.0000000 79.33 2.74
59 60 0.0000000 79.33 3.34
57 46 0.0006978 20.63 3.45
52 57 0.0312002 23.6 3.53
63 47 0.0000000 49.7 4.4
59 50 0.0312002 22.09 4.44
64 58 0.0061802 19.96 4.14
58 48 0.0799442 19.96 4.57
65 59 0.0085726 19.96 3.6
60 53 0.0000000 28.71 3.68
66 60 0.0000000 28.3 3.6
61 62 0.0000000 77.57 4.1
62 63 0.0045853 46.56 4.35
63 64 0.0000000 46.56 4.35
64 65 0.0000000 43.97 3.46
65 66 0.0000000 79.56 3.14
67 66 0.0000000 108.51 3.73
68 69 0.0000000 56.52 2.29
70 71 0.0000000 54.11 2.68
71 72 0.0000000 56.52 3.06
73 74 0.0000000 72.62 3.89
75 76 0.0000000 50.29 4.34
76 77 0.0000000 93.58 3.63
77 78 0.0011962 74.89 5.3
78 79 0.0000000 40.73 3.23
68 61 0.0000000 95.47 4.02
71 68 0.0356858 19.16 5.03
74 71 0.0000997 23.02 5.23
76 74 0.0603070 49.22 4.96
77 62 0.3210726 23.33 3.78
78 64 0.1345694 20.82 4.41
67 65 0.1276914 22.12 4.86
81 67 0.3629386 67.89 5.05
